product_id,name,price,sale
2874207740,กล่องน้องรัก Minimal ฝาชน Size 00 (20 ใบ),46,10800.0
4144139303,กล่องจากใจ ฝาชน Size 00 (20 ใบ),44,19000
10303395705,กล่องน้องรัก มันม่วง ฝาชน Size 00 (20 ใบ),70,3200.0
21616810489,กล่อง Good Day ฝาชน Size A (20 ใบ),149,472
18416806557,กล่อง Good Day ฝาชน Size 00 (20 ใบ),99,1400.0
6544148868,กล่องจากใจ ฝาชน Size B (20 ใบ),128,4600.0
21916812224,กล่อง Good Day ฝาชน Size C (20 ใบ),250,378
2262359033,กระดาษฝอย  ขนาด 50 กรัม,35,1600.0
1287777400,กล่องรักษ์โลก ฝาชน Size C (20 ใบ),144,3400.0
5945429656,กล่องรักษ์โลก ฝาชน Size 2C (20 ใบ),210,999
6188665321,กล่องน้องรัก มันม่วง ฝาชน Size 0 (20 ใบ),80,1800.0
4044146583,กล่องจากใจ ฝาชน Size C (20 ใบ),166,3000
4844150137,กล่องจากใจ ฝาชน Size A (20 ใบ),84,6000
21616812094,กล่อง Good Day ฝาชน Size B (20 ใบ),199,472
4344150293,กล่องจากใจ ฝาชน Size 0 (20 ใบ),66,11700.0
10203396609,กล่องน้องรัก มันม่วง ฝาชน Size B (20 ใบ),155,670
9854011552,กล่องน้องรัก มันม่วง ฝาชน Size A (20 ใบ),100,1300.0
1287864919,กล่องรักษ์โลก ฝาชน Size 2B (20 ใบ),140,2000
1287767487,กล่องรักษ์โลก ฝาชน Size B (20 ใบ),110,3600.0
3944248080,กล่องจากใจ ฝาชน Size 2A (20 ใบ),128,3700.0
9654011899,กล่องน้องรัก มันม่วง ฝาชน Size C (20 ใบ),190,480
4744144169,กล่องจากใจ ฝาชน Size AA (20 ใบ),74,4300.0
1287856220,กล่องรักษ์โลก ฝาชน Size 2A (20 ใบ),110,2300.0
18116810689,กล่อง Good Day ฝาชน Size 0 (20 ใบ),129,532
7618010462,กล่องรักษ์โลก ฝาชน Size 00 (20 ใบ),40,6600.0
5058579071,กระดาษไข (1 เซท 20 แผ่น),159,714
3905507808,กล่องสามโทน หูช้าง Size SS (20 ใบ),220,1900.0
1239934090,เทปใส ขนาด2นิ้ว ยาว 45 หลา,17,966
2874246900,กล่องน้องรัก Minimal ฝาชน Size 0 (20 ใบ),72,5000
7924266245,กล่องสามโทน หูช้าง Size B (20 ใบ),260,849
1287785182,กล่องรักษ์โลก ฝาชน Size D (20 ใบ),190,1900.0
18643232019,กล่อง Good Day ฝาชน (1 ใบ),39,75
1287801819,กล่องรักษ์โลก ฝาชน Size F (20 ใบ),340,484
6305429455,กล่องสามโทน หูช้าง Size S (20 ใบ),300,1400.0
4788667058,กล่องน้องรัก มันม่วง ฝาชน Size AA (20 ใบ),85,981
7144146008,กล่องจากใจ ฝาชน Size 2B (20 ใบ),162,1800.0
5644145583,กล่องจากใจ ฝาชน Size 20 (20 ใบ),98,3300.0
1287756474,กล่องรักษ์โลก ฝาชน Size A (20 ใบ),74,3600.0
2874276944,กล่องน้องรัก Minimal ฝาชน Size A (20 ใบ),90,3400.0
6957308349,กล่องไทยโทน หูช้าง Size A (20 ใบ),340,957
7430043606,กล่องน้องรัก Minimal ฝาชน Size 2A (20 ใบ),138,1500.0
16842177321,กล่องสามโทน หูช้าง Size 0 (20 ใบ),140,422
1287793825,กล่องรักษ์โลก ฝาชน Size E (20 ใบ),240,1200.0
2874309548,กล่องน้องรัก Minimal ฝาชน Size C (20 ใบ),183,1200.0
4423031132,บับเบิ้ล จิ๋ว (หน้ากว้าง 32.5 ซม. ยาว 50 เมตร )  ราคารวมส่ง,154,1200.0
7924266577,กล่องสามโทน หูช้าง Size C (20 ใบ),360,539
7724264261,กล่องสามโทน หูช้าง Size A (20 ใบ),180,2000
18843262361,กล่องสามโทน หูช้าง (1 ใบ),59,40
22533639767,กล่องไทยโทน ละมุนละไม หูช้าง Size A (20 ใบ),340,8
1287747081,กล่องรักษ์โลก ฝาชน Size 0 (20 ใบ),58,5000
7444149600,กล่องจากใจ ฝาชน Size E (20 ใบ),276,1100.0
1287838115,กล่องรักษ์โลก ฝาชน Size 20 (20 ใบ),86,2500.0
7057305659,กล่องไทยโทน หูช้าง Size SS (20 ใบ),400,457
7357308843,กล่องไทยโทน หูช้าง Size C (20 ใบ),540,457
20677248043,กล่องน้องรัก มันม่วง ฝาชน Size 2A (20 ใบ),155,14
6857305121,กล่องไทยโทน หูช้าง Size B (20 ใบ),460,641
11166632712,กล่องเทศกาลปีใหม่ ฝาชน Size C (20 ใบ),210,1100.0
20676654835,กล่องไทยโทน ละมุนละไม หูช้าง Size C (20 ใบ),540,21
20444094888,กล่องไทยโทน หูช้าง (1 ใบ),70,26
7305432569,กล่องสามโทน หูช้าง Size M (20 ใบ),420,764
17310814900,กล่อง Believe ฝาชน Size C (20 ใบ),210,161
2874290936,กล่องน้องรัก Minimal ฝาชน Size B (20 ใบ),138,2200.0
4130043892,กล่องน้องรัก Minimal ฝาชน Size AA (20 ใบ),82,2000
7845429127,กล่องรักษ์โลก ฝาชน Size BB (20 ใบ),88,979
2576956299,กล่องพี่ใหญ่ หูช้าง Size B (20 ใบ),360,1000
16710808753,กล่อง Believe ฝาชน Size A (20 ใบ),120,129
3824358770,กล่องรักษ์โลก ฝาชน Size AA (20 ใบ),64,1600.0
3657400253,กล่องไทยโทน หูช้าง Size 0 (20 ใบ),260,850
2262196326,ที่ตัดเทป ขนาด 2 นิ้ว,150,480
2577018970,กล่องพี่ใหญ่ หูช้าง Size C (20 ใบ),460,724
23335328933,กล่องน้องรัก มันม่วง ฝาชน Size 20 (20 ใบ),120,4
18876666242,กล่องไทยโทน ละมุนละไม หูช้าง Size SS (20 ใบ),400,8
10066639910,กล่องเทศกาลปีใหม่ ฝาชน Size A (20 ใบ),120,1700.0
20876650431,กล่องไทยโทน ละมุนละไม หูช้าง Size B (20 ใบ),460,8
7144145346,กล่องจากใจ ฝาชน Size F (20 ใบ),390,470
13940982592,กล่องเทศกาลปีใหม่ ฝาชน Size B (20 ใบ),186,1200.0
10248646002,กล่องมีกัน ฝาชน Size C (20 ใบ),190,159
7057305947,กล่องไทยโทน หูช้าง Size S (20 ใบ),500,319
5230044000,กล่องน้องรัก Minimal ฝาชน Size 20 (20 ใบ),104,1600.0
5529761450,กล่อง Pizza ฝาเสียบ Size 8 (20 ใบ),160,94
19958460896,กล่องเทศกาลปีใหม่  ฝาชน Size 20 (20 ใบ),130,272
18116817566,มินิโปสการ์ด Good Day (1แผ่น),29,65
15456466976,กล่อง Believe ฝาชน Size 00 (20 ใบ),84,219
23033636804,กล่องไทยโทน ละมุนละไม หูช้าง Size 0 (20 ใบ),260,4
15770807537,กล่องผลไม้ หูช้าง Size 1 (20 ใบ),500,12
3003504648,กล่องผลไม้ หูหิ้ว Size S (20 ใบ),400,78
22238128061,กล่องไทยโทนละมุนละไม หูช้าง (1 ใบ),60,2
2576740376,กล่องพี่ใหญ่ หูช้าง Size A (20 ใบ),260,1500.0
22333642183,กล่องไทยโทน ละมุนละไม หูช้าง Size 00 (20 ใบ),200,10
11348633551,กล่องมีกัน ฝาชน Size 2A (20 ใบ),160,89
4729763663,กล่อง Pizza ฝาเสียบ Size 10 (20 ใบ),180,98
21858461323,กล่องเทศกาลปีใหม่ ฝาชน Size 2A (20 ใบ),186,334
1239938529,เชือกขาว 2 mm. x 850 m.,160,76
